,CDFX Samples
0,0.6196773353931867
1,0.7668115805072326
2,0.0
3,0.8306623862918076
4,3.394
5,0.0
6,0.862554346113913
7,3.784
8,0.0
9,0.0
10,2.122
11,0.32031234756093935
12,2.4399999999999995
13,0.0
14,0.7745966692414834
15,3.766
16,2.5
17,0.9148770409186144
18,0.0
19,0.0
20,0.8160882305241266
21,0.0
22,0.0
23,3.508
24,0.0
25,0.0
26,3.1239999999999997
27,0.0
28,2.7520000000000007
29,0.34727510708370674
30,3.4060000000000006
31,2.4219999999999997
32,3.5140000000000002
33,0.4028647415696737
34,3.112
35,0.0
36,3.6639999999999997
37,3.7779999999999996
38,0.6949820141557621
39,3.2620000000000005
40,0.6074537019394977
41,0.6024948132556828
42,0.7861297602813418
43,2.2359999999999998
44,0.9612491872558332
45,2.2959999999999994
46,0.0
47,2.4399999999999995
48,0.0
49,0.0
50,0.0
51,2.542
52,0.0
53,0.4291852746774987
54,0.862554346113913
55,0.0
56,0.0
57,3.4720000000000004
58,0.32357379374726875
59,0.5822370651203855
60,0.524785670536077
61,0.32588341473600646
62,0.0
63,0.0
64,0.7823042886243179
65,0.0
66,2.6560000000000006
67,0.16926310879810758
68,0.0
69,0.9612491872558332
70,0.4361192497471305
71,0.5158488150611572
72,0.0
73,0.0
74,0.8763560920082658
75,2.992
76,3.766
77,0.0
78,0.0
79,0.0
80,0.3286335345030996
81,0.8031189202104505
82,3.832
83,0.978263768111648
84,0.0
85,0.0
86,0.0
87,0.0
88,3.6519999999999992
89,2.74
90,2.476
91,0.8573214099741123
92,0.8049844718999243
93,0.0
94,2.1339999999999995
95,0.997997995989972
96,2.0500000000000007
97,0.8432081593533117
98,0.6928203230275509
99,0.0
100,3.2439999999999998
101,0.0
102,0.0
103,0.0
104,2.1160000000000005
105,0.0
106,0.8360621986431392
107,3.4060000000000006
108,0.48466483264210536
109,2.5839999999999996
110,2.62
111,2.434
112,0.9767292357659824
113,0.0
114,3.67
115,0.0
116,0.8865664103720601
117,0.0
118,2.7460000000000004
119,2.5300000000000002
120,2.0980000000000008
121,0.0
122,0.8160882305241266
123,0.35916569992135944
124,0.0
125,2.9499999999999993
126,2.9559999999999995
127,0.7937253933193772
128,0.6992853494818835
129,3.25
130,0.8432081593533117
131,0.7842193570679061
132,0.0
133,2.6980000000000004
134,0.0
135,0.0
136,0.0
137,0.5299056519796708
138,0.848528137423857
139,0.0
140,0.0
141,0.5558776843874919
142,3.136
143,0.9674709297958259
144,0.0
145,0.0
146,0.0
147,0.92951600308978
148,2.9979999999999993
149,0.8916277250063505
150,0.9099450532861861
151,0.7078135347674556
152,0.8848728722251575
153,0.0
154,3.136
155,0.9767292357659824
156,0.0
157,0.5413871073455665
158,0.8432081593533117
159,0.0
160,0.5463515351859094
161,0.0
162,0.9518403227432635
163,0.8432081593533117
164,0.8608135686662938
165,0.6434283176858165
166,3.952
167,0.3336165463522456
168,0.0
169,0.7014271166700072
170,0.8342661445845685
171,0.7099295739719539
172,0.7687652437513027
173,0.726636084983398
174,0.17663521732655693
175,0.0
176,0.9423375191511797
177,0.0
178,0.0
179,2.0680000000000005
180,3.4240000000000004
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.9904544411531507
187,3.2140000000000004
188,0.8983317872590283
189,2.614
190,0.0
191,3.8439999999999994
192,0.0
193,0.4784349485562275
194,2.332
195,3.88
196,3.8919999999999995
197,0.9549869109050657
198,3.0759999999999996
199,0.8324662155306966
200,0.8449852069711044
201,2.8600000000000003
202,3.4480000000000004
203,2.8180000000000005
204,2.8600000000000003
205,0.0
206,3.58
207,2.056
208,3.1419999999999995
209,0.0
210,0.0
211,0.0
212,0.9705668446840743
213,0.0
214,0.0
215,3.4960000000000004
216,3.694
217,0.3670149860700514
218,0.978263768111648
219,3.5020000000000007
220,0.500199960015992
221,0.0
222,3.178
223,2.878
224,0.0
225,0.5349766350038102
226,3.2560000000000002
227,0.0
228,3.718
229,0.0
230,0.6992853494818835
231,3.6519999999999992
232,2.38
233,3.388
234,3.364
235,2.1579999999999995
236,2.3919999999999995
237,0.0
238,3.9219999999999997
239,0.7842193570679061
240,0.0
241,0.864291617453276
242,0.0
243,3.9879999999999995
244,2.4939999999999998
245,0.7120393247567159
246,0.24062418831031931
247,0.0
248,0.0
249,2.2720000000000002
250,0.0
251,2.452
252,2.41
253,0.6708203932499369
254,0.7183313998427189
255,0.7286974680894671
256,2.7700000000000005
257,2.992
258,2.6080000000000005
259,0.0
260,0.5899152481501051
261,2.776
262,3.718
263,0.0
264,0.0
265,0.4533210782657255
266,2.194
267,0.4295346318982906
268,2.4640000000000004
269,0.1439791651594077
270,3.154
271,2.404
272,3.9879999999999995
273,0.0
274,0.8049844718999243
275,3.466
276,0.0
277,0.0
278,0.0
279,3.3580000000000005
280,0.0
281,0.0
282,0.6992853494818835
283,0.0
284,0.6387487769068525
285,0.0
286,3.58
287,0.9705668446840743
288,0.20493901531919198
289,0.9033271832508972
290,0.0
291,2.0620000000000003
292,0.8949860334105779
293,0.9534149149242422
294,0.0
295,0.5463515351859094
296,0.945515732285825
297,0.48
298,2.2779999999999996
299,0.0
300,0.27982137159266446
301,0.45497252664309307
302,0.0
303,3.532
304,0.0
305,3.526
306,0.0
307,0.0
308,0.0
309,3.106
310,2.1160000000000005
311,0.7014271166700072
312,0.0
313,2.224
314,2.1100000000000003
315,3.91
316,3.37
317,0.0
318,3.112
319,2.8660000000000005
320,0.0
321,0.9115920140062659
322,0.6316644678941503
323,0.0
324,2.83
325,2.8480000000000008
326,0.7099295739719539
327,0.7509993342207435
328,0.6928203230275509
329,0.0
330,0.473392015141785
331,3.2379999999999995
332,0.4419275958796871
333,0.0
334,0.0
335,2.6500000000000004
336,0.0
337,0.6708203932499369
338,2.2959999999999994
339,0.5504543577809154
340,0.0
341,2.476
342,3.3580000000000005
343,0.6049793384901669
344,2.74
345,0.3845776904605882
346,3.952
347,3.904
348,0.0
349,0.9132360045464699
350,3.7959999999999994
351,0.7569676347110225
352,0.0
353,0.0
354,0.43335897360040904
355,2.428
356,0.8215838362577492
357,0.0
358,0.0
359,0.0
360,3.814
361,0.8865664103720601
362,0.6841052550594827
363,0.8848728722251575
364,0.0
365,0.0
366,0.0
367,2.056
368,2.8480000000000008
369,0.6387487769068525
370,3.2379999999999995
371,0.0
372,0.0
373,0.0
374,0.7224956747275377
